prompt,concept1,concept2,concept3
"a photo of a man wearing glasses and a toy wearing a hat sitting on a park bench","a man wearing glasses","a toy wearing a hat","a park bench"
"a photo of a man wearing glasses and a toy wearing a hat sitting on a sandy beach","a man wearing glasses","a toy wearing a hat","a sandy beach"
"a photo of a man holding a red balloon and a toy wearing a hat sitting on a wooden chair","a man holding a red balloon","a toy wearing a hat","a wooden chair"
"a photo of a man wearing headphones and a toy wearing glasses sitting on a sofa","a man wearing headphones","a toy wearing glasses","a sofa"
"a photo of a man wearing a blue shirt and a toy holding a lollipop sitting on a yellow bench","a man wearing a blue shirt","a toy holding a lollipop","a yellow bench"
"a photo of a man with a beard and a toy holding a cookie on a kitchen counter","a man with a beard","a toy holding a cookie","a kitchen counter"
"a photo of a man holding a toy car and a toy wearing sunglasses next to a basketball","a man holding a toy car","a toy wearing sunglasses","a basketball"
"a photo of a man with sunglasses and a toy holding a flower sitting on a green couch","a man with sunglasses","a toy holding a flower","a green couch"
"a photo of a man wearing a red hoodie and a toy wearing a bowtie next to a small round table","a man wearing a red hoodie","a toy wearing a bowtie","a small round table"
"a photo of a man holding a cup and a toy wearing a crown sitting on a bench","a man holding a cup","a toy wearing a crown","a bench"
"a photo of a man in a white t-shirt and a toy holding a book sitting on a blue chair","a man in a white t-shirt","a toy holding a book","a blue chair"
"a photo of a man pointing and a toy holding a flag standing on a small wooden box","a man pointing","a toy holding a flag","a small wooden box"